dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/H/long,Timer,937.348876953125,937.348876953125,17.726049423217773,1.3549171686172483,8.945707321166992,1.454779028892517,54.19668960571289,30.616153717041016,1.0615178346633911,0.6145944595336914,0.6145943999290466,Energy,1.0
kdd_cup_2018/H/long,Timer,3933.24560546875,3933.24560546875,24.26762962341309,1.0618218183517456,1.1776909828186035,0.6198624968528748,42.47286987304688,62.71559143066406,1.4715611934661863,0.5694166421890259,0.5694167017936707,Nature,1.0
loop_seattle/5T/long,Timer,174.40982055664062,174.40982055664062,8.904092788696289,1.3811830282211304,0.312557190656662,0.1870190501213073,55.247318267822266,13.206430435180664,0.2334924042224884,0.1574261784553527,0.1574261933565139,Transport,1.0
loop_seattle/H/long,Timer,119.13572692871094,119.13572692871094,7.016603946685791,1.4354292154312134,0.2177831083536148,0.1524847447872162,57.41716766357422,10.914931297302246,0.195064440369606,0.1253961026668548,0.1253961026668548,Transport,1.0
sz_taxi/15T/long,Timer,17.1718692779541,17.1718692779541,2.921497344970703,0.5541780591011047,8475207794688.0,0.4209156036376953,22.16712188720703,4.143895626068115,0.3835515677928924,0.2704086005687713,0.2704086005687713,Transport,1.0
m_dense/H/long,Timer,132903.703125,132903.703125,189.4039306640625,1.4404672384262085,0.7668570280075073,0.4415754973888397,57.61868667602539,364.5596008300781,0.6311065554618835,0.3278862237930298,0.3278862237930298,Transport,1.0
ett1/15T/long,Timer,26.45624542236328,26.45624542236328,2.947497844696045,1.726724624633789,0.8878867030143738,0.6636614799499512,69.06898498535156,5.143563270568848,0.9803682565689088,0.5617960095405579,0.5617959499359131,Energy,7.0
ett1/H/long,Timer,252.66668701171875,252.66668701171875,9.196810722351074,1.6078972816467283,5673646555136.0,0.5512914657592773,64.31588745117188,15.895492553710938,0.7612007260322571,0.4404153525829315,0.4404153823852539,Energy,7.0
ett2/15T/long,Timer,17.282947540283203,17.282947540283203,2.730286836624145,1.1427444219589231,0.1719768047332763,0.1983316242694854,45.70977783203125,4.157276630401611,0.2215487957000732,0.1455019265413284,0.1455019265413284,Energy,7.0
ett2/H/long,Timer,318.6417541503906,318.6417541503906,11.12791919708252,1.1976245641708374,0.1980889439582824,0.2000740468502044,47.90498352050781,17.850540161132812,0.2444494068622589,0.1523882895708084,0.1523882895708084,Energy,7.0
jena_weather/10T/long,Timer,2642.381103515625,2642.381103515625,16.85823631286621,0.738312840461731,1.7886229753494265,0.6904714107513428,29.532514572143555,51.40409851074219,0.3145504891872406,0.1031584367156028,0.1031584441661834,Nature,21.0
jena_weather/H/long,Timer,1726.2587890625,1726.2587890625,15.776041984558104,1.083956956863403,5.871225833892822,0.6670762300491333,43.3582763671875,41.54827117919922,0.2501666247844696,0.0949892476201057,0.0949892476201057,Nature,21.0
bitbrains_fast_storage/5T/long,Timer,3541142.5,3541142.5,364.0123901367188,1.2159849405288696,5.811825275421143,0.842163622379303,48.63940048217773,1881.7923583984373,4.973015308380127,0.9619760513305664,0.9619760513305664,Web/CloudOps,2.0
bitbrains_rnd/5T/long,Timer,2221176.0,2221176.0,217.41079711914065,3.946690082550049,3.3151423931121826,0.7730594873428345,157.8675994873047,1490.3609619140625,5.709237098693848,0.8328518271446228,0.832851767539978,Web/CloudOps,2.0
bizitobs_application/10S/long,Timer,18921282.0,18921282.0,2421.072021484375,8.513622283935547,0.1152883917093277,0.1179966256022453,340.5448913574219,4349.85986328125,0.1677567064762115,0.093371070921421,0.0933710560202598,Web/CloudOps,2.0
bizitobs_service/10S/long,Timer,205238.046875,205238.046875,133.7473602294922,4.24716854095459,1.0456585884094238,0.2048772722482681,169.88673400878906,453.0320434570313,0.335620641708374,0.0990843251347541,0.0990843251347541,Web/CloudOps,2.0
bizitobs_l2c/5T/long,Timer,375.9095153808594,375.9095153808594,14.159292221069336,1.3388009071350098,1.0445107221603394,1.155885934829712,53.55203628540039,19.38838577270508,1.088628888130188,0.7950230836868286,0.7950231432914734,Web/CloudOps,7.0
bizitobs_l2c/H/long,Timer,194.76385498046875,194.76385498046875,10.17976188659668,1.0375962257385254,1.343863010406494,0.9064521193504332,41.503849029541016,13.955781936645508,0.8524594306945801,0.6218092441558838,0.621809184551239,Web/CloudOps,7.0
